Unnamed: 0,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
4386,Rwanda,From RDC,RDC,Truck,60,6030,30692,5,0.08,542,3649,India,5921
4920,Tanzania,From RDC,RDC,Truck,30,17440,95920,5,0.18,2612,698, Nashik,5091
4180,Nigeria,From RDC,RDC,Air Charter,30,844,5545,6,0.22,76,11601,India,7633
4264,Rwanda,From RDC,RDC,Air,90,1480,12224,8,0.09,187,1109,India,5921
1921,South Africa,Direct Drop,DDP,Ocean,240,20000,185600,9,0.04,7664,16022,Canada,15035
947,Mozambique,From RDC,RDC,Truck,30,8438,82017,9,0.32,1404,588,India,6624
877,Tanzania,From RDC,RDC,Air,60,5809,54895,9,0.16,3622,9181,India,5659
2020,South Africa,Direct Drop,DDP,Ocean,90,22643,225977,9,0.11,3000,3573,India,8074
6066,Côte d'Ivoire,From RDC,RDC,Air,30,7426,34902,4,0.16,753,3063,India,9091
293,Vietnam,Direct Drop,EXW,Air,30,5040,62294,12,0.41,301,3883, Nashik,3641
4060,Mozambique,From RDC,RDC,Truck,60,106754,881788,8,0.14,28021,18662,India,6624
445,South Africa,Direct Drop,DDP,Air,60,3000,16080,5,0.09,3622,9181,South Africa,0
1835,Rwanda,Direct Drop,EXW,Air,60,46530,581159,12,0.21,4810,26894, Nashik,5355
4319,Uganda,From RDC,RDC,Air,60,54728,383096,7,0.12,14143,99654,India,5524
3830,Côte d'Ivoire,From RDC,RDC,Air,240,588,7996,13,0.06,215,5406,India,9091
5241,Zimbabwe,From RDC,RDC,Truck,60,30060,127755,4,0.07,1754,2537, Nashik,6420
6080,Côte d'Ivoire,From RDC,RDC,Air,60,519,1115,2,0.04,3622,9181,India,9091
4631,Haiti,From RDC,RDC,Air,30,19656,71547,3,0.12,1679,17028,India,14446
4529,Nigeria,From RDC,RDC,Air Charter,30,57749,630619,10,0.36,5554,12398,India,7633
367,Rwanda,Direct Drop,EXW,Air,30,6180,101970,16,0.55,2130,16331,India,5921
4584,Zambia,From RDC,RDC,Truck,60,152458,1219664,8,0.13,28103,35650, Nashik,6339
3942,Zambia,From RDC,RDC,Truck,60,18867,46035,2,0.04,17125,6317, Nashik,6339
5845,Côte d'Ivoire,From RDC,RDC,Truck,60,2376,7793,3,0.05,189,7953, Nashik,8608
1436,Nigeria,From RDC,RDC,Air Charter,60,5800,66120,11,0.19,654,6445,India,7633
5953,Nigeria,From RDC,RDC,Air Charter,60,87499,213497,2,0.04,9645,26441,India,7633
5776,Haiti,From RDC,RDC,Air,60,2305,5624,2,0.04,126,350,India,14446
5382,"Congo, DRC",From RDC,RDC,Air,120,777,15912,20,0.17,3622,9181, Nashik,6020
2776,South Africa,Direct Drop,DDP,Ocean,60,164,1380,8,0.14,3622,9181,India,8074
4376,Rwanda,From RDC,RDC,Air,60,2196,8235,3,0.06,98,-7,India,5921
4589,Uganda,From RDC,RDC,Truck,60,8333,20332,2,0.04,479,3358,India,5524
3822,Nigeria,From RDC,RDC,Air Charter,30,6203,72885,11,0.39,560,5147, Nashik,7134
1186,Côte d'Ivoire,From RDC,RDC,Air,240,965,1852,1,0.01,344,729,India,9091
2572,South Africa,Direct Drop,DDP,Truck,30,51,795,15,0.52,3622,9181,India,8074
2862,Haiti,Direct Drop,EXW,Ocean,240,1650,2359,1,0.01,3622,9181,India,14446
6005,Nigeria,From RDC,RDC,Air Charter,60,44383,322664,7,0.12,3622,9181, Nashik,7134
4339,Zambia,From RDC,RDC,Truck,60,37979,147738,3,0.06,1628,2526,India,6906
4928,Côte d'Ivoire,From RDC,RDC,Truck,60,7273,60074,8,0.14,650,3029,India,9091
6356,Tanzania,From RDC,RDC,Truck,30,153642,2310775,15,0.5,3622,9181, Nashik,5091
151,Zambia,Direct Drop,EXW,Air,30,60784,1018132,16,0.56,11179,48824,India,6906
3467,South Africa,Direct Drop,DDP,Truck,30,14,278,19,0.66,3622,9181,India,8074
1033,Zimbabwe,From RDC,RDC,Truck,30,4000,48040,12,0.4,3622,9181,India,6980
915,Nigeria,From RDC,RDC,Air,60,45000,420750,9,0.16,3622,9181,India,7633
1305,Côte d'Ivoire,From RDC,RDC,,30,6519,105933,16,0.54,3622,9181,India,9091
2900,South Africa,Direct Drop,DDP,Truck,200,1700,4270,2,0.01,3622,9181,India,8074
5363,Nigeria,From RDC,RDC,Air Charter,30,100000,1115000,11,0.37,3622,9181, Nashik,7134
4588,Mozambique,From RDC,RDC,Truck,60,200000,2058000,10,0.17,3622,9181, Nashik,6074
509,South Africa,Direct Drop,DDP,Truck,60,7000,37520,5,0.09,3622,9181,South Africa,0
1894,Haiti,Direct Drop,EXW,Air,240,2052,3098,1,0.01,908,5438,India,14446
6136,Nigeria,From RDC,RDC,Air Charter,60,793,4226,5,0.09,3622,9181,India,7633
2239,South Africa,Direct Drop,DDP,Ocean,60,238627,565545,2,0.04,12045,16266,India,8074
1820,Rwanda,Direct Drop,CIP,Air,30,9653,168734,17,0.58,3622,9181, Nashik,5355
748,Mozambique,From RDC,RDC,Air,60,720,6732,9,0.16,66,-228,India,6624
5318,Zimbabwe,From RDC,RDC,Truck,30,636,2264,3,0.12,3622,9181,India,6980
5815,Zimbabwe,From RDC,RDC,Truck,30,5900,28025,4,0.16,3622,9181,India,6980
1310,Côte d'Ivoire,From RDC,RDC,,30,8148,132405,16,0.54,741,1656,India,9091
5649,Haiti,From RDC,RDC,Air,90,2000,14600,7,0.08,3622,9181,India,14446
1558,Uganda,From RDC,RDC,Air,30,9,99,11,0.37,1,-34,India,5524
3332,Côte d'Ivoire,Direct Drop,EXW,Air,60,712,10680,15,0.25,147,836,India,9091
2119,South Africa,Direct Drop,DDP,Truck,30,11,240,21,0.73,3622,9181,India,8074
3381,South Africa,Direct Drop,DDP,Truck,30,240,6944,28,0.96,3622,9181, Port Elizabeth,573
4690,Tanzania,From RDC,RDC,Truck,90,5687,52889,9,0.1,3622,9181,India,5659
2268,Rwanda,Direct Drop,EXW,Air,30,16585,298530,18,0.6,3622,9181,India,5921
471,South Africa,Direct Drop,DDP,Truck,60,600,3426,5,0.1,3622,9181,France,8670
3509,Uganda,Direct Drop,FCA,Air,60,210,1438,6,0.11,32,-148,Germany,5868
3491,South Africa,Direct Drop,DDP,Truck,60,22,282,12,0.21,3622,9181,India,8074
5948,Uganda,From RDC,RDC,Air,30,12959,78790,6,0.2,3622,9181, Nashik,4961
5476,Zimbabwe,From RDC,RDC,Truck,30,1900,9747,5,0.17,3622,9181,India,6980
6138,Zambia,From RDC,RDC,Truck,60,4000,7960,1,0.03,3622,9181,India,6906
3221,Vietnam,Direct Drop,EXW,Air,240,691,1451,2,0.01,3622,9181,India,3157
896,Tanzania,From RDC,RDC,Truck,120,2580,106038,41,0.34,587,146,Germany,6837
5582,Mozambique,From RDC,RDC,Truck,240,41998,81896,1,0.01,12489,8458,India,6624
251,South Africa,Direct Drop,DDP,Air,30,500,1530,3,0.1,3622,9181,India,8074
1209,Côte d'Ivoire,From RDC,RDC,Air,200,3229,4520,1,0.01,3622,9181,India,9091
2275,Rwanda,Direct Drop,FCA,Air,60,3500,23975,6,0.11,442,5776,Germany,6174
5330,Zimbabwe,From RDC,RDC,Truck,30,20160,244137,12,0.4,2268,8405, Nashik,6420
2531,"Congo, DRC",Direct Drop,EXW,Air,1000,415,10026,24,0.02,329,731,India,6583
3012,South Africa,Direct Drop,DDP,Truck,60,5,124,24,0.42,3622,9181,India,8074
1128,Haiti,From RDC,RDC,Air,100,15,6000,400,4.0,3622,-23,Thailand,16167
2447,South Africa,Direct Drop,DDP,Truck,120,87,2241,25,0.21,3622,9181,Germany,8973
4122,Nigeria,From RDC,RDC,Air Charter,60,124,757,6,0.1,9,9181,India,7633
2728,Vietnam,Direct Drop,EXW,Air,30,40593,452611,11,0.37,4585,5881, Nashik,3641
