country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
South Africa,Direct Drop,DDP,Air,60,1000,19760,19,0.33,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,120,43169,906549,21,0.18,3622,9181,India,7633
Nigeria,From RDC,RDC,Air,30,13473,148203,11,0.37,1146,2680,India,7633
Côte d'Ivoire,From RDC,RDC,Air,240,3500,6825,1,0.01,1313,4597,India,9091
Nigeria,Direct Drop,EXW,Air,60,4632,16906,3,0.06,3622,9181,India,7633
Côte d'Ivoire,From RDC,RDC,Truck,60,5,32,6,0.11,1683,5443,India,9091
Rwanda,From RDC,RDC,Air,240,4928,61600,12,0.05,1800,11500,India,5921
South Africa,Direct Drop,DDP,Truck,60,24,2031,84,1.41,3622,9181, Haarlem,9211
Uganda,From RDC,RDC,Truck,60,15117,124866,8,0.14,8057,9734,India,5524
Mozambique,From RDC,RDC,Air,240,474,10191,21,0.09,221,-290,India,6624
Nigeria,From RDC,RDC,Air,30,1030,12071,11,0.39,251,960,India,7633
"Congo, DRC",From RDC,RDC,Air,30,53,322,6,0.2,220,1110, Nashik,6020
Côte d'Ivoire,From RDC,RDC,Air,60,5830,14225,2,0.04,3622,9181,India,9091
Nigeria,From RDC,RDC,Air Charter,60,99995,825958,8,0.14,11636,24231,India,7633
Zimbabwe,From RDC,RDC,Truck,60,1200,9780,8,0.14,70,949,India,6980
Uganda,Direct Drop,EXW,Air,120,175,15750,90,0.75,37,333, Port Elizabeth,3989
Côte d'Ivoire,From RDC,RDC,Truck,30,2480,18104,7,0.24,3622,9181, Nashik,8608
Côte d'Ivoire,From RDC,RDC,Truck,60,5024,23110,4,0.08,2732,9680,India,9091
Zimbabwe,From RDC,RDC,Truck,60,2267,6256,2,0.05,3622,9181,India,6980
Mozambique,From RDC,RDC,Air,60,1788,5721,3,0.05,205,380,India,6624
Zambia,From RDC,RDC,Air,240,1800,3780,2,0.01,671,4110,India,6906
Côte d'Ivoire,From RDC,RDC,Air,240,7700,15169,1,0.01,3622,9181,India,9091
Nigeria,From RDC,RDC,Air Charter,60,28,95,3,0.06,2,9181,India,7633
South Africa,Direct Drop,DDP,Truck,30,800,21392,26,0.89,3622,9181, Port Elizabeth,573
Vietnam,Direct Drop,EXW,Air,60,6437,52139,8,0.13,3622,9181, Nashik,3641
South Africa,Direct Drop,DDP,Truck,240,12,95,8,0.03,3622,9181,India,8074
Rwanda,Direct Drop,EXW,Air,60,1592,12799,8,0.13,167,923,India,5921
Zambia,From RDC,RDC,Truck,60,152458,1219664,8,0.13,28103,35650, Nashik,6339
South Africa,Direct Drop,DDP,Ocean,30,54008,349431,6,0.22,3658,11796,India,8074
Zambia,From RDC,RDC,Truck,60,16947,41011,2,0.04,1956,7709, Nashik,6339
Tanzania,From RDC,RDC,Truck,30,152880,2198414,14,0.48,17227,6134, Nashik,5091
Haiti,From RDC,RDC,Air,240,3584,6917,1,0.01,3622,9181,India,14446
Nigeria,From RDC,RDC,Air Charter,60,154667,1735363,11,0.19,20339,11601,India,7633
South Africa,Direct Drop,DDP,Truck,30,18,59,3,0.11,3622,9181,India,8074
"Congo, DRC",From RDC,RDC,Air,120,777,15912,20,0.17,3622,9181, Nashik,6020
Vietnam,Direct Drop,EXW,Air,100,630,3458,5,0.05,48,1729,India,3157
Rwanda,From RDC,RDC,Truck,60,1419,6385,4,0.08,71,-39,India,5921
Rwanda,From RDC,RDC,Air,240,1500,3150,2,0.01,575,3095,India,5921
Rwanda,Direct Drop,CIP,Air,30,20700,226665,10,0.36,1795,20340, Nashik,5355
Côte d'Ivoire,From RDC,RDC,Truck,120,8476,209865,24,0.21,3622,9181,India,9091
Côte d'Ivoire,From RDC,RDC,Truck,240,608,7600,12,0.05,223,1641,India,9091
Vietnam,Direct Drop,EXW,Air,30,21146,86698,4,0.14,1301,4664,India,3157
Zimbabwe,From RDC,RDC,Truck,60,46752,168307,3,0.06,3622,9181,India,6980
Haiti,Direct Drop,EXW,Air,60,2594,9338,3,0.06,231,1076,India,14446
Côte d'Ivoire,From RDC,RDC,Truck,100,2256,10738,4,0.05,172,2296,India,9091
Mozambique,From RDC,RDC,Air,60,6156,68577,11,0.19,3622,9181,India,6624
Nigeria,From RDC,RDC,Air,60,14277,134917,9,0.16,2033,14307,India,7633
South Africa,Direct Drop,DDP,Truck,60,120,2355,19,0.33,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,120,70,1803,25,0.21,3622,9181,Germany,8973
South Africa,Direct Drop,DDP,Truck,30,650,13819,21,0.71,3622,9181, Port Elizabeth,573
Tanzania,From RDC,RDC,Truck,60,59498,134465,2,0.04,3622,9181,India,5659
Vietnam,Direct Drop,EXW,Air,60,13020,18879,1,0.02,861,872,India,3157
Côte d'Ivoire,From RDC,RDC,Air,30,8660,50054,5,0.19,742,211,India,9091
Zambia,From RDC,RDC,Truck,30,79075,709302,8,0.3,3622,9181, Nashik,6339
Nigeria,From RDC,RDC,Air Charter,30,50000,441000,8,0.29,4502,26457, Nashik,7134
Haiti,From RDC,RDC,Air,240,2848,5553,1,0.01,1066,9794,India,14446
South Africa,Direct Drop,DDP,Truck,90,47,857,18,0.2,3622,9181,India,8074
Côte d'Ivoire,From RDC,RDC,Truck,30,1260,28350,22,0.75,122,131, Nashik,8608
Côte d'Ivoire,From RDC,RDC,Truck,60,90000,694800,7,0.13,10611,37492, Nashik,8608
Côte d'Ivoire,From RDC,RDC,Air,240,448,6137,13,0.06,1135,16941,India,9091
Rwanda,From RDC,RDC,Truck,240,507,937,1,0.01,185,1342,India,5921
