iter	Passed	Remaining
0	161	161529
1	184	91961
2	224	74575
3	232	58003
4	254	50592
5	257	42726
6	262	37217
7	266	33064
8	270	29731
9	273	27054
10	276	24851
11	279	23015
12	282	21462
13	285	20122
14	288	18960
15	291	17946
16	295	17062
17	298	16265
18	301	15551
19	304	14908
20	307	14320
21	310	13788
22	314	13364
23	317	12919
24	320	12503
25	323	12120
26	326	11768
27	329	11438
28	332	11130
29	335	10841
30	338	10575
31	341	10326
32	344	10090
33	347	9868
34	350	9659
35	353	9459
36	356	9270
37	359	9092
38	362	8925
39	365	8765
40	368	8613
41	371	8469
42	374	8328
43	377	8198
44	380	8069
45	383	7947
46	386	7840
47	389	7727
48	392	7618
49	395	7514
50	398	7415
51	401	7320
52	404	7226
53	407	7137
54	410	7051
55	413	6973
56	417	6908
57	420	6831
58	423	6754
59	426	6682
60	429	6613
61	432	6545
62	435	6477
63	438	6412
64	441	6346
65	444	6283
66	447	6225
67	450	6168
68	453	6112
69	456	6065
70	459	6016
71	462	5965
72	465	5915
73	468	5866
74	472	5821
75	475	5775
76	478	5730
77	481	5686
78	483	5642
79	487	5602
80	490	5560
81	493	5520
82	495	5479
83	498	5439
84	501	5401
85	504	5364
86	507	5328
87	510	5293
88	513	5260
89	516	5225
90	519	5191
91	522	5159
92	525	5126
93	528	5095
94	531	5064
95	534	5034
96	537	5004
97	540	4976
98	544	4954
99	548	4933
100	551	4906
101	554	4878
102	556	4850
103	559	4823
104	562	4797
105	565	4772
106	568	4746
107	571	4721
108	574	4698
109	577	4674
110	580	4650
111	583	4626
112	586	4603
113	589	4580
114	592	4558
115	595	4538
116	599	4520
117	602	4500
118	605	4479
119	608	4459
120	610	4438
121	613	4418
122	616	4397
123	619	4378
124	622	4358
125	625	4339
126	628	4320
127	631	4301
128	634	4284
129	637	4267
130	640	4249
131	643	4232
132	646	4215
133	649	4198
134	652	4181
135	655	4165
136	658	4149
137	661	4132
138	664	4118
139	667	4102
140	670	4087
141	673	4072
142	677	4058
143	680	4043
144	683	4028
145	686	4013
146	689	3999
147	692	3986
148	695	3971
149	698	3958
150	701	3944
151	704	3931
152	707	3918
153	710	3904
154	713	3891
155	716	3879
156	719	3865
157	723	3853
158	726	3840
159	729	3828
160	732	3815
161	735	3803
162	738	3791
163	741	3780
164	744	3767
165	747	3755
166	750	3743
167	753	3732
168	756	3721
169	759	3710
170	762	3698
171	765	3687
172	768	3675
173	771	3663
174	774	3652
175	777	3641
176	780	3630
177	784	3621
178	787	3612
179	790	3601
180	793	3590
181	796	3580
182	799	3569
183	802	3558
184	805	3547
185	808	3537
186	811	3526
187	813	3515
188	816	3504
189	819	3493
190	822	3483
191	825	3473
192	828	3462
193	830	3452
194	833	3442
195	836	3432
196	839	3422
197	842	3411
198	845	3403
199	848	3393
200	851	3383
201	854	3373
202	856	3364
203	859	3354
204	862	3346
205	865	3337
206	869	3331
207	873	3326
208	877	3321
209	881	3315
210	885	3310
211	890	3308
212	893	3302
213	897	3297
214	901	3291
215	905	3287
216	909	3281
217	913	3276
218	917	3273
219	922	3269
220	926	3264
221	929	3258
222	933	3253
223	937	3248
224	941	3243
225	946	3240
226	951	3238
227	955	3235
228	960	3233
229	964	3230
230	968	3225
231	972	3220
232	976	3216
233	980	3210
234	984	3206
235	988	3201
236	992	3196
237	997	3192
238	1001	3187
239	1005	3183
240	1009	3178
241	1013	3173
242	1017	3168
243	1020	3161
244	1023	3153
245	1026	3145
246	1029	3137
247	1032	3129
248	1034	3121
249	1037	3113
250	1040	3105
251	1043	3098
252	1046	3090
253	1049	3082
254	1052	3074
255	1055	3066
256	1058	3059
257	1061	3051
