,0
0,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.47777514850555275
  (0, 2)	-0.3998974456875854
  (0, 3)	0.2953238103157112
  (0, 4)	0.3450263525892974
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
1,"  (0, 0)	0.5702915377451966
  (0, 1)	0.5131951785525658
  (0, 2)	2.049013617934298
  (0, 3)	0.3825494428154418
  (0, 4)	-0.15546330858878218
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
2,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.1846599954453447
  (0, 2)	-0.04519583826486642
  (0, 3)	-0.05357871968321119
  (0, 4)	0.4784902622367852
  (0, 5)	-0.4825874150335461
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3,"  (0, 0)	2.164456214062103
  (0, 1)	-0.41902521804371357
  (0, 2)	-0.435618078902419
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.45038871462577384
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.39242324953059277
  (0, 2)	-0.4077789058495595
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
5,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.5011576208293648
  (0, 2)	-0.4543772796313223
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.3890251504718859
  (0, 5)	-0.37905027659657775
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
6,"  (0, 0)	2.164456214062103
  (0, 1)	-0.385467257763911
  (0, 2)	-0.2843542455554913
  (0, 3)	-0.009965903433345894
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.35649190565221034
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
7,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.5007111213578548
  (0, 2)	-0.4488569436594281
  (0, 3)	3.130156866556956
  (0, 4)	3.9485519130714692
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.7091163364409824
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 31)	7.326117094120656"
8,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.14602604117363924
  (0, 2)	-0.10964210168462456
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.28892721823627
  (0, 5)	0.8498989233982753
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
9,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4901361338747237
  (0, 2)	-0.4263227057751573
  (0, 3)	0.3825494428154418
  (0, 4)	-0.45575710529562985
  (0, 5)	-0.6609335101065362
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
10,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.47707014934001063
  (0, 2)	-0.421130994105742
  (0, 3)	-0.05357871968321119
  (0, 4)	0.5452222170605292
  (0, 5)	-0.6551493124284933
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
11,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.5000296221644974
  (0, 2)	-0.4535764304908274
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.08873135376503818
  (0, 5)	-0.6611263166958044
  (0, 6)	-0.5161163676862306
  (0, 7)	5.735178911963309
