iter	Passed	Remaining
0	47	46977
1	54	27329
2	62	20842
3	69	17263
4	76	15193
5	84	13941
6	90	12867
7	95	11818
8	99	11010
9	105	10463
10	112	10132
11	118	9757
12	124	9447
13	129	9086
14	133	8750
15	139	8568
16	143	8323
17	148	8087
18	154	7959
19	158	7790
20	164	7664
21	170	7585
22	175	7448
23	179	7304
24	184	7194
25	189	7089
26	193	6974
27	198	6883
28	204	6850
29	208	6755
30	213	6673
31	219	6625
32	223	6544
33	227	6467
34	232	6423
35	237	6347
36	241	6277
37	246	6230
38	251	6204
39	255	6138
40	260	6093
41	265	6062
42	269	6007
43	274	5953
44	278	5900
45	283	5875
46	287	5829
47	291	5782
48	296	5754
49	300	5712
50	304	5668
51	308	5622
52	314	5610
53	318	5574
54	322	5537
55	327	5521
56	332	5494
57	336	5460
58	340	5426
59	345	5414
60	349	5381
61	353	5349
62	357	5319
63	363	5309
64	366	5278
65	370	5249
66	375	5235
67	380	5209
68	384	5184
69	388	5156
70	394	5165
71	399	5144
72	402	5116
73	408	5106
74	412	5082
75	416	5060
76	420	5036
77	425	5030
78	429	5006
79	433	4985
80	439	4981
81	443	4963
82	447	4941
83	451	4922
84	456	4915
85	460	4898
86	464	4879
87	469	4865
88	475	4868
89	480	4855
90	484	4842
91	491	4852
92	496	4842
93	501	4833
94	507	4834
95	511	4818
96	515	4801
97	521	4797
98	525	4781
99	530	4770
100	534	4756
101	539	4745
102	543	4731
103	547	4715
104	552	4710
105	556	4695
106	560	4679
107	564	4663
108	569	4657
109	574	4644
110	578	4630
111	583	4624
112	587	4610
113	591	4595
114	595	4580
115	600	4575
116	604	4561
117	608	4547
118	612	4534
119	617	4531
120	622	4518
121	626	4505
122	630	4498
123	634	4485
124	638	4472
125	642	4459
126	648	4456
127	652	4443
128	656	4430
129	660	4417
130	665	4414
131	669	4402
132	673	4390
133	678	4388
134	682	4376
135	686	4363
136	690	4352
137	696	4349
138	700	4337
139	704	4326
140	708	4315
141	713	4311
142	717	4299
143	721	4288
144	726	4282
145	730	4272
146	734	4261
147	738	4250
148	743	4248
149	747	4237
150	751	4226
151	755	4215
152	761	4213
153	765	4204
154	769	4193
155	774	4191
156	781	4197
157	786	4192
158	793	4198
159	798	4193
160	803	4187
161	810	4191
162	815	4189
163	820	4180
164	826	4180
165	830	4172
166	834	4164
167	840	4163
168	844	4154
169	849	4145
170	854	4141
171	858	4132
172	862	4122
173	866	4113
174	872	4111
175	875	4101
176	880	4091
177	884	4082
178	890	4083
179	896	4083
180	904	4092
181	910	4092
182	923	4121
183	930	4125
184	936	4126
185	944	4133
186	951	4136
187	957	4133
188	962	4129
189	968	4127
190	972	4120
191	977	4111
192	982	4109
193	987	4100
194	991	4091
195	996	4089
196	1000	4079
197	1004	4070
198	1008	4061
199	1015	4062
200	1020	4055
201	1024	4046
202	1029	4042
203	1033	4033
204	1037	4024
205	1041	4015
206	1047	4011
207	1051	4002
208	1055	3993
209	1060	3989
210	1064	3980
211	1068	3971
212	1072	3962
213	1077	3958
214	1081	3949
215	1085	3940
216	1089	3931
217	1094	3927
218	1098	3918
219	1102	3909
220	1107	3904
221	1111	3895
222	1115	3886
223	1119	3878
224	1124	3874
225	1128	3866
226	1133	3858
227	1137	3849
228	1142	3845
229	1146	3836
230	1149	3827
231	1153	3819
232	1158	3813
233	1162	3805
234	1166	3797
235	1171	3792
236	1175	3784
237	1179	3777
238	1183	3768
239	1188	3765
240	1192	3757
241	1198	3752
242	1203	3749
243	1207	3741
244	1211	3734
245	1215	3726
246	1220	3722
247	1224	3713
248	1228	3706
249	1232	3697
250	1237	3693
251	1241	3686
252	1246	3678
253	1250	3674
254	1254	3666
255	1259	3659
256	1263	3651
257	1268	3647
258	1272	3640
259	1276	3632
260	1281	3627
261	1285	3621
262	1289	3614
263	1293	3606
264	1298	3602
265	1303	3595
266	1307	3588
267	1311	3580
268	1316	3577
269	1320	3570
270	1324	3562
271	1328	3555
272	1332	3549
273	1336	3542
274	1341	3535
275	1346	3531
276	1350	3524
277	1354	3518
278	1358	3511
279	1364	3507
280	1367	3499
281	1371	3492
282	1376	3486
283	1380	3480
284	1384	3472
285	1388	3465
286	1393	3462
287	1398	3456
288	1402	3451
289	1406	3444
290	1411	3438
291	1415	3432
292	1419	3426
293	1425	3422
294	1429	3415
295	1433	3408
296	1437	3401
297	1442	3398
298	1446	3391
299	1450	3385
300	1456	3381
301	1460	3374
302	1464	3367
303	1467	3360
304	1473	3357
305	1477	3350
306	1481	3343
307	1485	3337
308	1490	3333
309	1494	3326
310	1498	3320
311	1503	3315
312	1507	3309
313	1511	3302
314	1515	3296
315	1521	3292
316	1525	3286
317	1529	3279
318	1532	3272
319	1538	3268
320	1542	3262
321	1546	3255
322	1551	3251
323	1555	3245
324	1559	3239
325	1563	3232
326	1568	3228
327	1572	3222
328	1576	3215
329	1581	3210
330	1587	3209
331	1591	3202
332	1595	3195
333	1600	3192
334	1605	3186
335	1609	3180
336	1613	3174
337	1617	3168
338	1621	3162
339	1625	3156
340	1631	3152
341	1635	3146
342	1639	3140
343	1643	3133
344	1648	3130
345	1652	3123
346	1656	3117
347	1660	3111
348	1665	3106
349	1669	3100
350	1673	3094
351	1678	3090
352	1682	3084
353	1686	3078
354	1691	3072
355	1696	3068
356	1700	3062
357	1704	3056
358	1708	3050
359	1713	3045
360	1717	3040
361	1721	3034
362	1727	3031
363	1731	3025
364	1735	3018
365	1739	3012
366	1744	3009
367	1748	3003
368	1752	2997
369	1758	2993
370	1762	2988
371	1766	2982
372	1770	2976
373	1776	2973
374	1780	2967
375	1784	2961
376	1789	2957
377	1793	2951
378	1797	2945
379	1801	2939
380	1807	2936
381	1812	2931
382	1816	2925
383	1821	2921
384	1825	2915
385	1828	2909
386	1832	2903
387	1838	2899
388	1842	2893
389	1846	2888
390	1850	2882
391	1856	2880
392	1861	2874
393	1864	2868
394	1870	2865
395	1874	2859
396	1879	2854
397	1883	2848
398	1888	2844
399	1892	2838
400	1896	2832
401	1902	2829
402	1906	2823
403	1910	2818
404	1914	2812
405	1919	2808
406	1923	2802
407	1927	2796
408	1931	2791
409	1935	2785
410	1939	2779
411	1943	2774
412	1949	2770
413	1953	2764
414	1957	2758
415	1961	2753
416	1968	2751
417	1972	2745
418	1976	2740
419	1981	2736
420	1985	2730
421	1989	2724
422	1993	2719
423	1998	2715
424	2002	2709
425	2006	2703
426	2010	2698
427	2015	2692
428	2018	2687
429	2022	2681
430	2027	2677
431	2031	2671
432	2035	2665
433	2039	2660
434	2045	2656
435	2049	2651
436	2053	2645
437	2057	2639
438	2062	2635
439	2066	2630
440	2070	2624
441	2075	2620
442	2079	2614
443	2084	2610
444	2088	2605
445	2093	2600
446	2098	2596
447	2102	2590
448	2107	2585
449	2111	2580
450	2115	2574
451	2119	2569
452	2124	2565
453	2128	2559
454	2132	2554
455	2136	2548
456	2141	2545
457	2145	2539
458	2149	2533
459	2154	2528
460	2158	2523
461	2162	2518
462	2166	2512
463	2172	2509
464	2176	2503
465	2180	2498
466	2184	2492
467	2189	2489
468	2193	2483
469	2197	2478
470	2202	2474
471	2206	2468
472	2210	2462
473	2214	2457
474	2219	2453
475	2223	2447
476	2227	2442
477	2231	2437
478	2237	2434
479	2241	2428
480	2245	2423
481	2251	2419
482	2254	2413
483	2258	2408
484	2262	2402
485	2268	2399
486	2272	2393
487	2276	2388
488	2280	2383
489	2285	2379
490	2290	2373
491	2293	2368
492	2299	2364
493	2303	2359
494	2307	2353
495	2311	2348
496	2316	2344
497	2320	2339
498	2324	2334
499	2328	2328
500	2333	2324
501	2337	2318
502	2341	2313
503	2347	2310
504	2352	2305
505	2356	2300
506	2360	2295
507	2366	2292
508	2370	2286
509	2374	2281
510	2380	2277
511	2384	2272
512	2388	2267
513	2392	2261
514	2397	2257
515	2401	2252
516	2405	2247
517	2410	2243
518	2415	2238
519	2419	2233
520	2423	2228
521	2428	2223
522	2432	2218
523	2436	2213
524	2441	2208
525	2445	2203
526	2449	2198
527	2453	2193
528	2459	2189
529	2463	2184
530	2467	2179
531	2471	2174
532	2476	2170
533	2480	2165
534	2485	2160
535	2490	2156
536	2494	2151
537	2498	2145
538	2503	2141
539	2508	2136
540	2512	2131
541	2516	2126
542	2521	2122
543	2526	2117
544	2530	2112
545	2534	2107
546	2539	2103
547	2543	2097
548	2547	2092
549	2551	2087
550	2556	2083
551	2561	2078
552	2564	2073
553	2570	2069
554	2574	2064
555	2578	2059
556	2583	2054
557	2588	2050
558	2593	2046
559	2597	2041
560	2603	2037
561	2607	2032
562	2612	2028
563	2620	2025
564	2629	2024
565	2640	2024
566	2656	2028
567	2669	2030
568	2680	2030
569	2692	2031
570	2708	2035
571	2721	2036
572	2741	2042
573	2753	2043
574	2763	2042
575	2773	2041
576	2785	2041
577	2792	2039
578	2850	2072
579	2866	2075
580	2885	2080
581	2899	2082
582	2915	2085
583	2927	2085
584	2939	2085
585	2953	2086
586	2972	2091
587	2987	2093
588	3002	2095
589	3018	2097
590	3027	2095
591	3034	2091
592	3045	2090
593	3054	2087
594	3064	2085
595	3075	2084
596	3096	2090
597	3110	2091
598	3125	2092
599	3134	2089
600	3150	2091
601	3177	2100
602	3215	2117
603	3261	2138
604	3295	2151
605	3313	2154
606	3328	2154
607	3342	2154
608	3369	2163
609	3379	2160
610	3390	2158
611	3430	2174
612	3442	2173
613	3459	2174
614	3464	2169
615	3487	2173
616	3497	2170
617	3507	2168
618	3516	2164
619	3523	2159
620	3528	2153
621	3534	2147
622	3538	2141
623	3543	2134
624	3547	2128
625	3552	2122
626	3557	2116
627	3564	2111
628	3569	2105
629	3573	2098
630	3578	2092
631	3583	2086
632	3588	2080
633	3593	2074
634	3600	2069
635	3607	2064
636	3611	2058
637	3617	2052
638	3621	2045
639	3625	2039
640	3631	2033
641	3635	2027
642	3639	2020
643	3644	2014
644	3649	2008
645	3655	2003
646	3660	1996
647	3665	1990
648	3669	1984
649	3673	1978
650	3679	1972
651	3683	1966
652	3687	1959
653	3693	1953
654	3697	1947
655	3701	1940
656	3707	1935
657	3712	1929
658	3717	1923
659	3722	1917
660	3727	1911
661	3731	1905
662	3735	1898
663	3741	1893
664	3747	1887
665	3753	1882
666	3758	1876
667	3763	1870
668	3768	1864
669	3773	1858
670	3778	1852
671	3783	1846
672	3789	1841
673	3794	1835
674	3799	1829
675	3805	1823
676	3809	1817
677	3813	1811
678	3818	1805
679	3823	1799
680	3827	1793
681	3831	1786
682	3836	1780
683	3841	1774
684	3845	1768
685	3849	1762
686	3854	1756
687	3860	1750
688	3865	1744
689	3870	1738
690	3874	1732
691	3879	1726
692	3884	1720
693	3889	1714
694	3893	1708
695	3897	1702
696	3902	1696
697	3906	1690
698	3910	1684
699	3915	1677
700	3919	1671
701	3924	1665
702	3928	1659
703	3933	1653
704	3937	1647
705	3941	1641
706	3945	1635
707	3950	1629
708	3954	1623
709	3959	1617
710	3966	1612
711	3971	1606
712	3976	1600
713	3981	1594
714	3986	1588
715	3990	1582
716	3996	1577
717	4001	1571
718	4006	1565
719	4010	1559
720	4015	1553
721	4019	1547
722	4023	1541
723	4028	1535
724	4032	1529
725	4037	1523
726	4041	1517
727	4047	1512
728	4052	1506
729	4057	1500
730	4062	1495
731	4067	1489
732	4071	1483
733	4076	1477
734	4080	1471
735	4085	1465
736	4089	1459
737	4094	1453
738	4098	1447
739	4102	1441
740	4107	1435
741	4112	1429
742	4115	1423
743	4119	1417
744	4125	1411
745	4130	1406
746	4134	1400
747	4139	1394
748	4143	1388
749	4147	1382
750	4151	1376
751	4156	1370
752	4161	1365
753	4168	1359
754	4178	1356
755	4184	1350
756	4193	1346
757	4208	1343
758	4219	1339
759	4236	1337
760	4246	1333
761	4260	1330
762	4276	1328
763	4289	1325
764	4306	1322
765	4314	1317
766	4330	1315
767	4344	1312
768	4358	1309
769	4377	1307
770	4386	1302
771	4395	1298
772	4409	1295
773	4421	1290
774	4427	1285
775	4440	1281
776	4446	1276
777	4458	1272
778	4469	1267
779	4475	1262
780	4484	1257
781	4490	1251
782	4500	1247
783	4506	1241
784	4516	1237
785	4523	1231
786	4532	1226
787	4538	1220
788	4544	1215
789	4550	1209
790	4555	1203
791	4562	1198
792	4567	1192
793	4571	1186
794	4578	1180
795	4582	1174
796	4588	1168
797	4593	1162
798	4598	1156
799	4602	1150
800	4607	1144
801	4612	1138
802	4618	1133
