country,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
9,3,0,240,1000,6200,6,0.03,358,3521,9,3157
9,3,0,60,31920,127360,3,0.07,1855,15007,9,3157
9,3,0,60,38000,121600,3,0.05,7590,44450,9,3157
4,3,0,240,416,2225,5,0.02,504,4920,9,7633
7,3,0,60,16667,60834,3,0.06,1478,5212,9,5659
4,3,0,60,273,532,1,0.03,3622,9181,9,7633
10,0,0,120,2800,115080,41,0.34,643,9181,8,7464
5,3,0,60,10000,99800,9,0.17,7416,63179,9,5921
11,0,0,60,579,14764,25,0.42,3622,9181,7,7729
5,3,0,30,2000,33000,16,0.55,710,2120,9,5921
7,0,0,200,712,8964,12,0.06,162,-88,7,6771
1,0,0,60,5513,140581,25,0.42,2126,9181,7,4338
9,3,0,240,1000,1920,1,0.01,941,3193,9,3157
9,4,0,120,500,41095,82,0.68,117,767,8,9157
2,3,0,100,25,8750,350,3.5,60,2097,14,16167
9,3,0,60,400,3352,8,0.14,23,1149,9,3157
9,3,0,30,8400,96432,11,0.38,654,3051,2,3641
6,2,3,200,600,870,1,0.01,3622,9181,7,8670
9,0,0,60,400,2800,7,0.12,81,1211,7,9916
9,3,0,30,1344,18359,13,0.46,1537,12507,2,3641
6,2,3,60,20,103,5,0.09,3622,9181,7,8670
6,2,3,30,100,1906,19,0.64,3622,9181,7,8670
6,2,3,200,670,1025,1,0.01,3622,9181,7,8670
7,0,0,30,2597,61470,23,0.79,117,-355,7,6771
2,3,0,100,28,9800,350,3.5,109,-218,14,16167
9,3,0,60,38640,92736,2,0.04,2719,17614,9,3157
4,3,0,540,34,1547,45,0.08,115,755,13,4123
9,3,0,60,42000,60900,1,0.02,2600,9179,9,3157
6,2,3,240,50,696,13,0.06,3622,9181,8,8973
9,3,0,30,16800,171192,10,0.34,1224,3686,2,3641
4,0,0,30,9,453,50,1.68,3622,9181,0,4754
6,2,3,30,80,1830,22,0.76,3622,9181,3,573
6,2,3,30,120,2745,22,0.76,3622,9181,3,573
6,2,3,200,600,858,1,0.01,3622,9181,7,8670
6,2,3,60,7,91,13,0.22,3622,9181,7,8670
7,0,0,30,50000,2520000,50,1.68,4093,8339,0,7164
9,3,0,60,5964,51350,8,0.14,3509,11835,9,3157
9,3,0,60,21000,50400,2,0.04,3622,9181,9,3157
9,3,0,60,10560,72864,6,0.12,924,3225,9,3157
9,3,0,60,2352,20250,8,0.14,211,-108,9,3157
7,4,0,60,2094,21526,10,0.17,237,9181,8,6837
5,3,0,30,8249,185602,22,0.75,2800,11595,9,5921
4,0,0,30,200,4734,23,0.79,11,-537,7,4142
2,0,0,60,80,760,9,0.16,43,-740,7,7294
2,0,0,200,32,402,12,0.06,3622,9181,7,7294
2,4,0,60,46,472,10,0.17,10,-107,8,7877
6,2,0,30,3025,47522,15,0.52,3622,9181,9,8074
6,2,0,30,3500,49840,14,0.47,3622,9181,9,8074
6,2,0,240,1008,3588,3,0.01,3622,9181,9,8074
6,2,0,200,960,1152,1,0.01,3622,9181,7,8670
6,2,0,240,1800,10512,5,0.02,3622,9181,4,15035
6,2,0,60,1200,3384,2,0.05,3622,9181,9,8074
6,2,0,240,346,1954,5,0.02,3622,9181,9,8074
6,2,3,30,5300,16642,3,0.1,3622,9181,9,8074
6,2,0,240,342,1932,5,0.02,3622,9181,9,8074
6,2,3,60,2700,10665,3,0.07,3622,9181,7,8670
6,2,0,120,3735,134385,35,0.3,3622,9181,8,8973
6,2,0,60,11672,35016,3,0.05,3622,9181,9,8074
1,4,0,120,10240,420864,41,0.34,2523,13806,8,5008
6,2,3,30,80,2816,35,1.17,3622,9181,3,573
6,2,3,60,1000,19770,19,0.33,3622,2134,9,8074
2,3,0,100,60,21000,350,3.5,144,2128,14,16167
9,4,0,336,8,613,76,0.23,48,2366,7,9916
9,3,0,60,3500,39025,11,0.19,1804,5341,9,3157
9,0,0,60,400,2800,7,0.12,148,-986,7,9916
6,2,3,60,5000,41300,8,0.14,3622,9181,9,8074
6,2,3,240,460,2838,6,0.03,3622,9181,4,15035
1,3,0,100,6,2400,400,4.0,15,39,14,11529
9,0,0,60,2800,19600,7,0.12,555,2292,7,9916
2,3,0,100,15,6000,400,4.0,36,195,14,16167
4,3,0,60,894,2994,3,0.06,479,3861,9,7633
9,3,0,60,25100,276100,11,0.18,2575,17772,9,3157
9,3,0,60,95500,144205,1,0.03,9170,41453,9,3157
9,3,0,60,70000,525000,7,0.12,6813,30858,9,3157
5,3,0,30,71577,1087970,15,0.51,3622,9181,9,5921
5,3,0,60,5605,202340,36,0.6,3622,9181,9,5921
9,3,0,60,25000,187500,7,0.12,2348,20439,9,3157
1,0,0,60,1577,14981,9,0.16,306,9181,7,4338
1,0,0,60,4270,40565,9,0.16,3622,9181,7,4338
9,3,0,240,1000,1920,1,0.01,960,12762,9,3157
9,3,0,240,1000,2100,2,0.01,3622,9181,9,3157
9,3,0,240,1000,2100,2,0.01,3622,9181,9,3157
9,3,0,60,3000,40500,13,0.22,332,3454,9,3157
9,3,0,30,22500,277425,12,0.41,1955,15095,9,3157
9,4,0,120,500,41095,82,0.68,117,767,8,9157
5,3,0,30,1609,27353,17,0.57,157,6922,3,3572
5,0,0,60,1099,30222,27,0.46,113,511,2,5355
9,3,0,60,1200,2100,1,0.03,125,1429,9,3157
6,2,3,90,6,47,7,0.09,3622,9181,7,8670
6,2,3,30,500,10925,21,0.73,3622,9181,3,573
9,3,0,60,10080,29232,2,0.05,507,3159,9,3157
9,3,0,30,6720,77145,11,0.38,522,2796,2,3641
9,0,0,60,400,2800,7,0.12,81,2013,7,9916
9,3,0,60,10780,15631,1,0.02,502,6575,9,3157
6,2,3,60,2000,11060,5,0.09,3622,9181,12,0
6,2,3,240,30,435,14,0.06,3622,9181,8,8973
5,0,0,60,47879,569281,11,0.2,5311,29408,9,5921
5,0,0,60,61021,725539,11,0.2,6768,37120,9,5921
9,3,0,60,4300,37023,8,0.14,3622,9181,9,3157
9,3,0,60,18030,26143,1,0.02,1114,4822,9,3157
6,2,3,30,60,1096,18,0.61,3622,9181,7,8670
6,2,3,200,12,150,12,0.06,3622,9181,7,8670
9,4,0,120,434,35674,82,0.68,113,1709,8,9157
9,3,0,60,1100,12540,11,0.19,159,1568,9,3157
9,3,0,30,8400,85596,10,0.34,613,2247,2,3641
9,3,0,60,3648,26448,7,0.12,323,1335,9,3157
6,2,3,30,300,7080,23,0.79,3622,9181,3,573
6,2,3,240,40,557,13,0.06,3622,9181,8,8973
9,3,0,60,6000,17400,2,0.05,581,1653,9,3157
6,2,3,30,1300,20410,15,0.52,3622,9181,9,8074
6,2,3,200,120,733,6,0.03,3622,9181,4,15035
6,2,3,240,40,540,13,0.06,3622,9181,8,8973
9,3,0,60,9000,21600,2,0.04,2228,8809,9,3157
9,3,0,60,700,7805,11,0.19,3622,9181,9,3157
