,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance
0,Vietnam,Direct Drop,EXW,Air,240,1000,6200.0,6.2,0,"Aurobindo Unit III, India",358,4521.5,India,3157
1,Vietnam,Direct Drop,EXW,Air,60,31920,127360.8,3.99,0,"Ranbaxy, Paonta Shahib, India",1855,16007.06,India,3157
2,Vietnam,Direct Drop,EXW,Air,60,38000,121600.0,3.2,0,"Aurobindo Unit III, India",7590,45450.08,India,3157
3,Nigeria,Direct Drop,EXW,Air,240,416,2225.6,5.35,0,"Aurobindo Unit III, India",504,5920.42,India,7633
4,Tanzania,Direct Drop,EXW,Air,60,16667,60834.55,3.65,0,"Aurobindo Unit III, India",1478,6212.41,India,5659
5,Nigeria,Direct Drop,EXW,Air,60,273,532.35,1.95,0,"Aurobindo Unit III, India",See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),India,7633
6,Zambia,Direct Drop,CIP,Air,120,2800,115080.0,41.1,0,ABBVIE Ludwigshafen Germany,643,Freight Included in Commodity Cost,Germany,7464
7,Rwanda,Direct Drop,EXW,Air,60,10000,99800.0,9.98,0,"Cipla, Goa, India",7416,64179.42,India,5921
8,Zimbabwe,Direct Drop,CIP,Air,60,579,14764.5,25.5,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,7729
9,Rwanda,Direct Drop,EXW,Air,30,2000,33000.0,16.5,0,Premier Med. Corp Ltd. India,710,3120.7,India,5921
10,Tanzania,Direct Drop,CIP,Air,200,712,8964.08,12.59,0,"BMS Meymac, France",162,912.96,France,6771
11,Côte d'Ivoire,Direct Drop,CIP,Air,60,5513,140581.5,25.5,0,"BMS Meymac, France",2126,Freight Included in Commodity Cost,France,4338
12,Vietnam,Direct Drop,EXW,Air,240,1000,1920.0,1.92,0,"Aurobindo Unit III, India",941,4193.49,India,3157
13,Vietnam,Direct Drop,FCA,Air,120,500,41095.0,82.19,0,ABBVIE Ludwigshafen Germany,117,1767.38,Germany,9157
14,Haiti,Direct Drop,EXW,Air,100,25,8750.0,350.0,3,"Pacific Biotech, Thailand",60,3097.85,Thailand,16167
15,South Africa,Direct Drop,DDP,,200,40,317.6,7.94,0,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,Canada,15035
16,Vietnam,Direct Drop,EXW,Air,60,400,3352.0,8.38,0,"Ranbaxy, Paonta Shahib, India",23,2149.05,India,3157
17,South Africa,Direct Drop,DDP,,200,200,340.0,1.7,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
18,Vietnam,Direct Drop,EXW,Air,30,8400,96432.0,11.48,0,Mylan (formerly Matrix) Nashik,654,4051.34, Nashik,3641
19,South Africa,Direct Drop,DDP,Truck,200,600,870.0,1.45,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
20,Vietnam,Direct Drop,CIP,Air,60,400,2800.0,7.0,0,"BMS Meymac, France",81,2211.05,France,9916
21,South Africa,Direct Drop,DDP,,60,6,77.1,12.85,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
