,distance
0,3157
1,3157
2,3157
3,7633
4,5659
5,7633
6,7464
7,5921
8,7729
9,5921
10,6771
11,4338
12,3157
13,9157
14,16167
15,15035
16,3157
17,8670
18,3641
19,8670
20,9916
21,8670
22,3641
23,8670
24,8670
25,8670
26,6771
27,16167
28,3157
29,4123
30,3157
31,8973
32,3641
33,4754
34,573
35,573
36,8670
37,8670
38,7164
39,3157
40,3157
41,3157
42,3157
43,6837
44,5921
45,4142
46,7294
47,7294
48,7877
49,8074
50,8074
51,8074
52,8670
53,15035
54,8074
55,8074
56,8074
57,8074
58,8670
59,8973
60,8074
61,5008
62,573
63,8074
64,16167
65,9916
66,3157
67,9916
68,8074
69,15035
70,11529
71,9916
72,16167
73,7633
74,3157
75,3157
76,3157
77,5921
78,5921
79,3157
80,4338
81,4338
82,3157
83,3157
84,3157
85,3157
86,3157
87,9157
88,3572
89,8670
90,5355
91,3157
92,8670
93,8670
94,573
95,3157
96,3641
97,8074
98,8670
99,9916
100,3157
101,0
102,8973
103,5921
104,5921
105,3157
106,3157
107,8670
108,8670
109,9157
110,3157
111,3641
112,3157
113,573
114,8973
115,3157
116,8074
117,15035
118,8973
119,3157
120,3157
121,4754
122,14446
123,8074
124,8074
125,8074
126,8074
127,8074
128,8670
129,8074
130,5796
131,8670
132,5921
133,8670
134,8670
135,8670
136,4614
137,4614
138,5355
139,3157
140,9916
141,8670
142,8670
143,3157
144,3157
145,7633
146,7633
147,6906
148,6906
149,7633
150,7633
151,6906
152,3157
153,3157
154,16167
155,3157
156,7240
157,11529
158,3157
159,3157
160,9916
161,5796
162,15035
163,573
164,573
165,3157
166,573
167,4338
168,8670
169,8074
170,3157
171,3157
172,3157
173,8074
174,8670
175,3641
176,8074
177,5796
178,3157
179,15035
180,8670
181,4754
182,3157
183,5796
184,8670
185,3641
186,3157
187,7294
188,7877
189,8670
190,8074
191,8074
192,0
193,8074
194,8074
195,8074
196,8973
197,8670
198,8074
199,8074
200,8973
201,8670
202,8074
203,5355
204,3157
205,3641
206,3157
207,3157
208,9916
209,8670
210,8074
211,573
212,5524
213,5921
214,3157
215,9157
216,4338
217,8670
218,5921
219,9157
220,3157
221,8973
222,15035
223,7877
224,8670
225,15035
226,3157
227,3157
228,3157
229,9157
230,9157
231,3157
232,3157
233,3157
234,9916
235,3641
236,8670
237,573
238,6771
239,3157
240,5921
241,7240
242,7164
243,3157
244,6837
245,8074
246,8074
247,8074
248,8074
249,8074
250,8074
251,8074
252,8074
253,573
254,573
255,8670
256,8670
257,8074
258,8074
259,573
260,8973
261,8973
262,7633
263,9091
264,9091
265,5524
266,6906
267,3157
268,3157
269,3157
270,3157
271,10046
272,7729
273,4338
274,5921
275,8670
276,8670
277,9157
278,3157
279,8670
280,0
281,8670
282,573
283,3157
284,3641
285,8973
286,3157
287,9157
288,3641
289,8670
290,8670
291,16167
292,3157
293,3641
294,13251
295,573
296,7633
297,9157
298,3157
299,9916
300,8670
301,8670
302,3157
303,3157
304,8074
305,9091
306,3157
307,5921
308,7877
309,9916
310,8074
311,8670
312,8074
313,8670
314,8074
315,8670
316,8074
317,8670
318,15035
319,15035
320,8074
321,8074
322,8074
323,8074
324,8074
325,573
326,8074
327,8074
328,8074
329,8074
330,8670
331,3157
332,9916
333,9916
334,8074
335,3157
336,3157
337,5524
