,index,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance
0,0,Vietnam,Direct Drop,EXW,Air,240,1000,6200.0,6.2,0.03,"Aurobindo Unit III, India",358.0,4521.5,India,3157.0
1,1,Vietnam,Direct Drop,EXW,Air,60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",1855.0,16007.06,India,3157.0
2,2,Vietnam,Direct Drop,EXW,Air,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",7590.0,45450.08,India,3157.0
3,3,Nigeria,Direct Drop,EXW,Air,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",504.0,5920.42,India,7633.0
4,4,Tanzania,Direct Drop,EXW,Air,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",1478.0,6212.41,India,5659.0
5,6,Zambia,Direct Drop,CIP,Air,120,2800,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,643.0,Freight Included in Commodity Cost,Germany,7464.0
6,7,Rwanda,Direct Drop,EXW,Air,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",7416.0,64179.42,India,5921.0
7,9,Rwanda,Direct Drop,EXW,Air,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,710.0,3120.7,India,5921.0
8,10,Tanzania,Direct Drop,CIP,Air,200,712,8964.08,12.59,0.06,"BMS Meymac, France",162.0,912.96,France,6771.0
9,11,Côte d'Ivoire,Direct Drop,CIP,Air,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",2126.0,Freight Included in Commodity Cost,France,4338.0
10,12,Vietnam,Direct Drop,EXW,Air,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",941.0,4193.49,India,3157.0
11,13,Vietnam,Direct Drop,FCA,Air,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,117.0,1767.38,Germany,9157.0
12,14,Haiti,Direct Drop,EXW,Air,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",60.0,3097.85,Thailand,16167.0
13,16,Vietnam,Direct Drop,EXW,Air,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",23.0,2149.05,India,3157.0
14,18,Vietnam,Direct Drop,EXW,Air,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,654.0,4051.34, Nashik,3641.0
15,20,Vietnam,Direct Drop,CIP,Air,60,400,2800.0,7.0,0.12,"BMS Meymac, France",81.0,2211.05,France,9916.0
16,22,Vietnam,Direct Drop,EXW,Air,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,1537.0,13507.92, Nashik,3641.0
17,26,Tanzania,Direct Drop,CIP,Air,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",117.0,645.1,France,6771.0
18,27,Haiti,Direct Drop,EXW,Air,100,28,9800.0,350.0,3.5,"Pacific Biotech, Thailand",109.0,782.13,Thailand,16167.0
19,28,Vietnam,Direct Drop,EXW,Air,60,38640,92736.0,2.4,0.04,"Aurobindo Unit III, India",2719.0,18614.72,India,3157.0
20,29,Nigeria,Direct Drop,EXW,Air,540,34,1547.68,45.52,0.08,"Novartis Pharma AG, Switzerland",115.0,1755.87,Switzerland,4123.0
21,30,Vietnam,Direct Drop,EXW,Air,60,42000,60900.0,1.45,0.02,"Aurobindo Unit III, India",2600.0,10179.16,India,3157.0
22,32,Vietnam,Direct Drop,EXW,Air,30,16800,171192.0,10.19,0.34,Mylan (formerly Matrix) Nashik,1224.0,4686.88, Nashik,3641.0
23,38,Tanzania,Direct Drop,CIP,Air,30,50000,2520000.0,50.4,1.68,"MSD, Haarlem, NL",4093.0,9339, Haarlem,7164.0
24,39,Vietnam,Direct Drop,EXW,Air,60,5964,51350.04,8.61,0.14,"Aurobindo Unit III, India",3509.0,12835.2,India,3157.0
25,41,Vietnam,Direct Drop,EXW,Air,60,10560,72864.0,6.9,0.12,"Cipla, Goa, India",924.0,4225.93,India,3157.0
26,42,Vietnam,Direct Drop,EXW,Air,60,2352,20250.72,8.61,0.14,"Aurobindo Unit III, India",211.0,892.5,India,3157.0
27,43,Tanzania,Direct Drop,FCA,Air,60,2094,21526.32,10.28,0.17,ABBVIE Ludwigshafen Germany,237.0,Freight Included in Commodity Cost,Germany,6837.0
28,44,Rwanda,Direct Drop,EXW,Air,30,8249,185602.5,22.5,0.75,Premier Med. Corp Ltd. India,2800.0,12595.81,India,5921.0
29,45,Nigeria,Direct Drop,CIP,Air,30,200,4734.0,23.67,0.79,"BMS Meymac, France",11.0,463,France,4142.0
30,46,Haiti,Direct Drop,CIP,Air,60,80,760.0,9.5,0.16,"BMS Meymac, France",43.0,260,France,7294.0
31,48,Haiti,Direct Drop,FCA,Air,60,46,472.88,10.28,0.17,ABBVIE Ludwigshafen Germany,10.0,893.22,Germany,7877.0
32,61,Côte d'Ivoire,Direct Drop,FCA,Air,120,10240,420864.0,41.1,0.34,ABBVIE Ludwigshafen Germany,2523.0,14806.48,Germany,5008.0
33,64,Haiti,Direct Drop,EXW,Air,100,60,21000.0,350.0,3.5,"Pacific Biotech, Thailand",144.0,3128.19,Thailand,16167.0
34,65,Vietnam,Direct Drop,FCA,Air,336,8,613.76,76.72,0.23,ABBVIE (Abbott) France,48.0,3366.04,France,9916.0
35,66,Vietnam,Direct Drop,EXW,Air,60,3500,39025.0,11.15,0.19,"Aurobindo Unit III, India",1804.0,6341.88,India,3157.0
36,67,Vietnam,Direct Drop,CIP,Air,60,400,2800.0,7.0,0.12,"BMS Meymac, France",148.0,14.36,France,9916.0
37,70,Côte d'Ivoire,Direct Drop,EXW,Air,100,6,2400.0,400.0,4.0,"Pacific Biotech, Thailand",15.0,1039.5,Thailand,11529.0
38,71,Vietnam,Direct Drop,CIP,Air,60,2800,19600.0,7.0,0.12,"BMS Meymac, France",555.0,3292.15,France,9916.0
39,72,Haiti,Direct Drop,EXW,Air,100,15,6000.0,400.0,4.0,"Pacific Biotech, Thailand",36.0,1195.29,Thailand,16167.0
40,73,Nigeria,Direct Drop,EXW,Air,60,894,2994.9,3.35,0.06,"Aurobindo Unit III, India",479.0,4861.14,India,7633.0
41,74,Vietnam,Direct Drop,EXW,Air,60,25100,276100.0,11.0,0.18,"Cipla, Goa, India",2575.0,18772.94,India,3157.0
42,75,Vietnam,Direct Drop,EXW,Air,60,95500,144205.0,1.51,0.03,"Strides, Bangalore, India.",9170.0,42453.21,India,3157.0
43,76,Vietnam,Direct Drop,EXW,Air,60,70000,525000.0,7.5,0.12,"Cipla, Goa, India",6813.0,31858.09,India,3157.0
44,79,Vietnam,Direct Drop,EXW,Air,60,25000,187500.0,7.5,0.12,"Cipla, Goa, India",2348.0,21439.59,India,3157.0
45,80,Côte d'Ivoire,Direct Drop,CIP,Air,60,1577,14981.5,9.5,0.16,"BMS Meymac, France",306.0,Freight Included in Commodity Cost,France,4338.0
46,82,Vietnam,Direct Drop,EXW,Air,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",960.0,13762.41,India,3157.0
47,85,Vietnam,Direct Drop,EXW,Air,60,3000,40500.0,13.5,0.22,"Aurobindo Unit III, India",332.0,4454.62,India,3157.0
48,86,Vietnam,Direct Drop,EXW,Air,30,22500,277425.0,12.33,0.41,"Aurobindo Unit III, India",1955.0,16095.39,India,3157.0
49,87,Vietnam,Direct Drop,FCA,Air,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,117.0,1767.38,Germany,9157.0
50,88,Rwanda,Direct Drop,EXW,Air,30,1609,27353.0,17.0,0.57,"Aspen-OSD, Port Elizabeth, SA",157.0,7922.24, Port Elizabeth,3572.0
51,90,Rwanda,Direct Drop,CIP,Air,60,1099,30222.5,27.5,0.46,Mylan (formerly Matrix) Nashik,113.0,1511.25, Nashik,5355.0
52,91,Vietnam,Direct Drop,EXW,Air,60,1200,2100.0,1.75,0.03,"Aurobindo Unit III, India",125.0,2429.85,India,3157.0
53,95,Vietnam,Direct Drop,EXW,Air,60,10080,29232.0,2.9,0.05,"Aurobindo Unit III, India",507.0,4159.45,India,3157.0
54,96,Vietnam,Direct Drop,EXW,Air,30,6720,77145.6,11.48,0.38,Mylan (formerly Matrix) Nashik,522.0,3796.05, Nashik,3641.0
55,99,Vietnam,Direct Drop,CIP,Air,60,400,2800.0,7.0,0.12,"BMS Meymac, France",81.0,3013.09,France,9916.0
56,100,Vietnam,Direct Drop,EXW,Air,60,10780,15631.0,1.45,0.02,"Strides, Bangalore, India.",502.0,7575.6,India,3157.0
57,103,Rwanda,Direct Drop,CIP,Air,60,47879,569281.31,11.89,0.2,"Aurobindo Unit III, India",5311.0,30408.04,India,5921.0
58,104,Rwanda,Direct Drop,CIP,Air,60,61021,725539.69,11.89,0.2,"Aurobindo Unit III, India",6768.0,38120.96,India,5921.0
59,106,Vietnam,Direct Drop,EXW,Air,60,18030,26143.5,1.45,0.02,"Aurobindo Unit III, India",1114.0,5822.44,India,3157.0
60,109,Vietnam,Direct Drop,FCA,Air,120,434,35674.8,82.2,0.68,ABBVIE Ludwigshafen Germany,113.0,2709.98,Germany,9157.0
61,110,Vietnam,Direct Drop,EXW,Air,60,1100,12540.0,11.4,0.19,"Aurobindo Unit III, India",159.0,2568.6,India,3157.0
62,111,Vietnam,Direct Drop,EXW,Air,30,8400,85596.0,10.19,0.34,Mylan (formerly Matrix) Nashik,613.0,3247.73, Nashik,3641.0
63,112,Vietnam,Direct Drop,EXW,Air,60,3648,26448.0,7.25,0.12,"Cipla, Goa, India",323.0,2335.19,India,3157.0
64,115,Vietnam,Direct Drop,EXW,Air,60,6000,17400.0,2.9,0.05,"Aurobindo Unit III, India",581.0,2653.27,India,3157.0
65,119,Vietnam,Direct Drop,EXW,Air,60,9000,21600.0,2.4,0.04,"Aurobindo Unit III, India",2228.0,9809.7,India,3157.0
66,121,Nigeria,Direct Drop,CIP,Air,30,25000,1260000.0,50.4,1.68,"MSD, Haarlem, NL",2067.0,7933.38, Haarlem,4754.0
67,122,Haiti,Direct Drop,EXW,Air,100,2100,10500.0,5.0,0.05,"Aurobindo Unit III, India",187.0,1903.54,India,14446.0
68,130,Uganda,Direct Drop,CIP,Air,30,60,1100.4,18.34,0.61,"BMS Meymac, France",3000.0,428.91,France,5796.0
69,132,Rwanda,Direct Drop,CIP,Air,60,7840,71344.0,9.1,0.15,"Cipla, Goa, India",719.0,853.88,India,5921.0
70,136,Nigeria,Direct Drop,FCA,Air,120,73,3000.3,41.1,0.34,ABBVIE Ludwigshafen Germany,69.0,1332.43,Germany,4614.0
71,137,Nigeria,Direct Drop,FCA,Air,120,2040,83844.0,41.1,0.34,ABBVIE Ludwigshafen Germany,309.0,3777.93,Germany,4614.0
72,138,Rwanda,Direct Drop,CIP,Air,60,26932,317528.28,11.79,0.2,Mylan (formerly Matrix) Nashik,3393.0,30661.5, Nashik,5355.0
73,139,Vietnam,Direct Drop,EXW,Air,30,150,1950.0,13.0,0.43,"Aurobindo Unit III, India",30.0,4111.71,India,3157.0
74,147,Zambia,Direct Drop,EXW,Air,240,906,19071.3,21.05,0.09,"Aurobindo Unit III, India",316.0,3850.8,India,6906.0
75,148,Zambia,Direct Drop,EXW,Air,60,38780,432009.2,11.14,0.19,"Aurobindo Unit III, India",3217.0,14364.29,India,6906.0
76,151,Zambia,Direct Drop,EXW,Air,30,60784,1018132.0,16.75,0.56,"Aurobindo Unit III, India",11179.0,49824.57,India,6906.0
77,152,Vietnam,Direct Drop,EXW,Air,240,1000,5050.0,5.05,0.02,"Aurobindo Unit III, India",3822.0,25124.12,India,3157.0
78,154,Haiti,Direct Drop,EXW,Air,100,25,10000.0,400.0,4.0,"Pacific Biotech, Thailand",60.0,1498.02,Thailand,16167.0
79,155,Vietnam,Direct Drop,EXW,Air,60,25000,187500.0,7.5,0.12,"Cipla, Goa, India",2336.0,21150.56,India,3157.0
80,156,Zambia,Direct Drop,CIP,Air,60,5408,68952.0,12.75,0.21,"BMS Meymac, France",1072.0,Freight Included in Commodity Cost,France,7240.0
