,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
0,Vietnam,Direct Drop,EXW,Air,240,1000,6200,6,0.03,358,4521,India,3157
1,Vietnam,Direct Drop,EXW,Air,60,31920,127360,3,0.07,1855,16007,India,3157
2,Vietnam,Direct Drop,EXW,Air,60,38000,121600,3,0.05,7590,45450,India,3157
3,Nigeria,Direct Drop,EXW,Air,240,416,2225,5,0.02,504,5920,India,7633
4,Tanzania,Direct Drop,EXW,Air,60,16667,60834,3,0.06,1478,6212,India,5659
5,Nigeria,Direct Drop,EXW,Air,60,273,532,1,0.03,3622,10181,India,7633
6,Zambia,Direct Drop,CIP,Air,120,2800,115080,41,0.34,643,10181,Germany,7464
7,Rwanda,Direct Drop,EXW,Air,60,10000,99800,9,0.17,7416,64179,India,5921
8,Zimbabwe,Direct Drop,CIP,Air,60,579,14764,25,0.42,3622,10181,France,7729
9,Rwanda,Direct Drop,EXW,Air,30,2000,33000,16,0.55,710,3120,India,5921
10,Tanzania,Direct Drop,CIP,Air,200,712,8964,12,0.06,162,912,France,6771
11,Côte d'Ivoire,Direct Drop,CIP,Air,60,5513,140581,25,0.42,2126,10181,France,4338
12,Vietnam,Direct Drop,EXW,Air,240,1000,1920,1,0.01,941,4193,India,3157
13,Vietnam,Direct Drop,FCA,Air,120,500,41095,82,0.68,117,1767,Germany,9157
14,Haiti,Direct Drop,EXW,Air,100,25,8750,350,3.5,60,3097,Thailand,16167
15,South Africa,Direct Drop,DDP,,200,40,317,7,0.04,3622,10181,Canada,15035
16,Vietnam,Direct Drop,EXW,Air,60,400,3352,8,0.14,23,2149,India,3157
17,South Africa,Direct Drop,DDP,,200,200,340,1,0.01,3622,10181,France,8670
18,Vietnam,Direct Drop,EXW,Air,30,8400,96432,11,0.38,654,4051, Nashik,3641
19,South Africa,Direct Drop,DDP,Truck,200,600,870,1,0.01,3622,10181,France,8670
20,Vietnam,Direct Drop,CIP,Air,60,400,2800,7,0.12,81,2211,France,9916
21,South Africa,Direct Drop,DDP,,60,6,77,12,0.21,3622,10181,France,8670
22,Vietnam,Direct Drop,EXW,Air,30,1344,18359,13,0.46,1537,13507, Nashik,3641
23,South Africa,Direct Drop,DDP,Truck,60,20,103,5,0.09,3622,10181,France,8670
24,South Africa,Direct Drop,DDP,Truck,30,100,1906,19,0.64,3622,10181,France,8670
25,South Africa,Direct Drop,DDP,Truck,200,670,1025,1,0.01,3622,10181,France,8670
26,Tanzania,Direct Drop,CIP,Air,30,2597,61470,23,0.79,117,645,France,6771
27,Haiti,Direct Drop,EXW,Air,100,28,9800,350,3.5,109,782,Thailand,16167
28,Vietnam,Direct Drop,EXW,Air,60,38640,92736,2,0.04,2719,18614,India,3157
29,Nigeria,Direct Drop,EXW,Air,540,34,1547,45,0.08,115,1755,Switzerland,4123
30,Vietnam,Direct Drop,EXW,Air,60,42000,60900,1,0.02,2600,10179,India,3157
31,South Africa,Direct Drop,DDP,Truck,240,50,696,13,0.06,3622,10181,Germany,8973
32,Vietnam,Direct Drop,EXW,Air,30,16800,171192,10,0.34,1224,4686, Nashik,3641
